"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1437","成州國小","12","0","五股區","20240523190940","25.099230","121.450630","成泰路三段493號(東側)","Wugu Dist.","Chengzhou Elementary School","No.493, Sec. 3, Chengtai Rd., Wugu Dist.","11","1"
"1438","中興北街42巷17弄","10","2","三重區","20240523190933","25.050060","121.468920","中興北街42巷17弄8號旁","Sanchong Dist.","Aly. 17, Ln. 42, Zhongxing N. St.","No.8, Aly. 17, Ln. 42, Zhongxing N. St., Sanchong Dist.","8","1"
"1441","三光國小(金滿意)","10","0","三重區","20240523190943","25.055960","121.496874","大同南路246-1號(對面人行道)","Sanchong Dist.","Sanguang Elementary School(JinManYi)","No.246-1, Datong S. Rd., Sanchong Dist.","9","1"
"1442","蘆洲中路公園","10","1","蘆洲區","20240523190938","25.082299","121.468143","光華路87巷7號(右側)","Luzhou Dist.","Luzhou Zhonglu Park","No.7, Ln. 87, Guanghua Rd., Luzhou Dist.","8","1"
"1449","明德高中","46","0","三峽區","20240523190936","24.907449","121.364848","中正路二段/中正路二段395巷口","Sanxia Dist.","MingDer Senior High School","Sec. 2, Zhongzheng Rd. / Ln. 395, Sec. 2, Zhongzheng Rd., Sanxia Dist.","43","1"
"1450","鳳鳴國小","22","11","鶯歌區","20240523190940","24.969198","121.334806","永和街120號(校門前)","Yingge Dist.","Fengming Elementary School","No.120, Yonghe St., Yingge Dist.","10","1"
"1452","藍天大樓","16","0","三重區","20240523190921","25.053098","121.470165","興德路129號(旁)","Sanchong Dist.","Lantian Building","No.129, Xingde Rd., Sanchong Dist.","16","1"
"1454","大智公園","12","0","三重區","20240523190936","25.063608","121.494449","大同北路56號(對面)","Sanchong Dist.","Dazhi Park","No.56, Datong N. Rd., Sanchong Dist.","13","1"
"1455","國際二國際一路口","30","20","鶯歌區","20240523190930","24.976171","121.334938","國際二路/國際一路口","Yingge Dist.","Guoji 2nd Guoji 1st Intersection","Guoji 2nd Rd./Guoji 1st Rd., Yingge Dist.","10","1"
"1456","三重高中","10","1","三重區","20240523190941","25.054777","121.491710","集美街217號(對面)","Sanchong Dist.","SanChong Senior High School","No.217, Jimei St., Sanchong Dist.","9","1"
"1457","昌平公園","12","1","新莊區","20240523190934","25.058664","121.458109","中央路/福壽街口","Xinzhuang Dist.","Changping Park","Zhongyang Rd./Fushou St., Xinzhuang Dist.","10","1"
"1458","新北市客家文化園區","38","13","三峽區","20240523190927","24.941729","121.359538","隆恩街239號(右側)","Sanxia Dist.","Hakka Museum New Taipei City Government","No.239, Long’en St., Sanxia Dist.","23","1"
"1463","新泰游泳池","20","0","新莊區","20240523190936","25.045414","121.442734","新泰路478號(對面)(鄰近新莊文化藝術中心)","Xinzhuang Dist.","Xintai Swimming Pool","No.478, Xintai Rd., Xinzhuang Dist.","20","1"
"1464","森林公園","18","6","樹林區","20240523190938","24.948177","121.379760","學勤路382號(對面)","Shulin Dist.","Forest Park","No.382, Xueqin Rd., Shulin Dist.(opposite)","14","1"
"1465","馥華公園","14","0","板橋區","20240523190935","25.006117","121.445449","僑中二街118號前","Banqiao Dist.","Fuhua Park","No.118, Qiaozhong 2nd St., Banqiao Dist.","12","1"
"1467","南雅育智路口","28","17","鶯歌區","20240523190936","24.953961","121.345824","南雅路491號(對面)","Yingge Dist.","Nanya & Yuzhi Rd. Intersection","No.491, Nanya Rd., Yingge Dist.(opposite)","5","1"
"1468","穀保家商","10","2","三重區","20240523190928","25.068097","121.471028","疏洪東路三段/中正北路560巷口(鄰近二重環狀自行車道)","Sanchong Dist.","Ku Pao Home Economics & Commercial High School","Sec. 4,Shuhong WRd., Sanchong Dist./Ln. 560, Zhongzheng N. Rd.","8","1"
"1470","學成大成路口","20","7","樹林區","20240523190937","24.946248","121.382719","學成路712號(旁)","Shulin Dist.","Xuecheng & Dacheng Intersection","No.712, Xuecheng Rd., Shulin Dist.","12","1"
"1475","廣福派出所","22","1","土城區","20240523190926","24.988019","121.456247","學府路一段86號前","Tucheng Dist.","Guangfu Police Substation","No.86, Sec. 1, Xuefu Rd., Tucheng Dist.","21","1"
"1477","大眾廟","12","1","新莊區","20240523190922","25.037380","121.457660","中正路82號(旁)","Xinzhuang Dist.","Dazhong Temple","No.82, Zhongzheng Rd.,Xinzhuang Dist.","10","1"
"1478","化成公園","22","0","新莊區","20240523190936","25.047860","121.461962","思源路166巷4號(前)","XinZhuang Dist.","Huacheng Park","NO.43.Lin.166 Siyuan Rd. XinZhuang Dist","22","1"
"1479","龍恩公園","30","6","三峽區","20240523190943","24.941359","121.370524","國際一街90號(對面)(鄰近國立台北大學)","Sanxia Dist.","Long En Park","No.90. Guoji 1st .Sanxia Dist.","24","1"
